212,Chef DâÃ©quipe Production , Confidentiel ,19/08/2022," BERRCHID, Maroc ", Maroc ,non spécifié, BERRCHID , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Organisation quotidienne du site de production : lancement et suivi. Management et planification des tâches de l’équipe de production. Contrôle de la production : fabrication et échantillons. Suivi des indicateurs de productivité et de rendement. Participation aux interventions de la maintenance préventive et corrective pour la productivité des machines. Suivi des stocks de matières premières et de produits finis. Mise à jour de la documentation technique de la production. Veille à la bonne application des procédures et des règles de qualité, de sécurité et d’hygiène. "
213,Directeur Achats Et Supply Chain , Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Elaborer les politiques achats et approvisionnement du groupe et la faire valider par la hiérarchie Planifier les achats en fonction des prévisions Définir les responsabilités de gestion des achats Construire une stratégie d’achat par famille ou sous-famille en fonction des enjeux potentiels et complexité du marché Assurer l’approvisionnement du groupe par la mise en place des contrats cadres 
214,Directeur Ressources Humaines, Confidentiel ,19/08/2022," Marrakech-Tensift-El Haouz, Maroc ", Maroc ,non spécifié, Marrakech-Tensift-El Haouz , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Gestion des relations sociales Participer à la définition des orientations sociales. Organiser, animer et maintenir le dialogue social (DP, représentants syndicaux) en liaison avec la Direction. Négocier avec les organisations représentatives du personnel. Préparer et participer aux réunions des instances paritaires (Comité d'établissement,…) et à toute instance sociale compétente. Gérer les conflits sociaux individuels et collectifs. Informer les salariés des décisions en matière de gestion du personnel. Diriger et gérer l'équipe RH en créant une culture de service, Mettre en œuvre des procédures recrutement Établir une prestation efficace et efficiente des processus et procédures RH Mise en œuvre du développement professionnel et accompagnement des nouveaux salariés. Veille sociale Report direct au directeur général "
215,Assistante De Direction, Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Premier interlocuteur du directeur général et relais à l’égard de diverses parties prenantes Préparation du contenu des projets et des notes d’orientation Suivi et maintien des projets et système stratégique tel que le développement des compétences, reporting de permanence Tâches classiques de secrétariat telles que l’administration, la gestion de l’agenda, la correspondance, la communication, les présentations et les procès-verbaux, gestion du courrier Planification et organisation des réunions, d’événements, voyages, séminaires,… Accueil et orientation des visiteurs "
216,Assistante Adv, Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Accueil téléphonique et physique des clients ; Classement des dossiers; Préparation des dossiers administratifs; Elaboration des devis, bons de commande et les bons de livraison aux clients; Contribution à la réalisation des tableaux de bord ou de suivi; Organisation de la gestion documentaire, le classement et l'archivage. "
217,Commercial Immobilier , Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié, Accompagner les clients durant le processus d’achat Assurer un reporting régulier auprès de la direction Prospection 
218,Directeur Technique, Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Elabore l'avant-projet en phase de conception (choix constructifs, Ratios de construction, chiffrage et analyse du coût / qualité / rentabilité de chaque opération) aux côtés des prestataires d'études (économiste, architecte, BE fluides / structure….) Gère les projets de maîtrise d'œuvre placée sous votre responsabilité à savoir la relation client, la gestion des équipes projet, l'organisation, la production et le contrôle de la qualité des livrables des projets hydrauliques, A.E.P. et VRD sur les sites concernés. En phase d'exécution, assure la partie technique, la coopération avec les clients finaux (acquéreurs) (travaux, livraison et SAV) ainsi que la partie terrain (conduite de travaux) Définit et veille au respect du cahier des charges et des normes de sécurité jusqu’à la livraison et la levée des réserves. "
219,Juriste Anglophone , Confidentiel ,19/08/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Mettre en place les méthodes et procédures de contrôle et de suivi des engagements contractuels Elaborer des modèles ou projets de contrats et documents juridiques Être le point de référence pour solutionner toutes les requêtes internes à caractère juridique Veiller à un bon relationnel avec les partenaires externes : avocats, administrations, … Assurer l’assistanat juridique du conseil d’administration "
220,Responsable Dâatelier , Confidentiel ,29/07/2022," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," La mission du Responsable d’atelier est d’assurer la conformité et le bon état (technique, sécurité, présentation) des matériels proposés à la location, et d’organiser le travail de l’atelier (planning, interventions, réparations,…) Il est titulaire des autorisations de conduite adaptées au parc de l’agence. Il est également titulaire d’une habilitation électrique. "
221,Directeur Administratif Et Financier Au Ghana., Confidentiel ,28/07/2022," GHANA, Maroc ", Maroc ,non spécifié, GHANA , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Veiller à la bonne gestion administrative et financière de l’entreprise. Contrôler la bonne exécution de la stratégie et des procédures définies avec la direction générale et coordonne les services dont il/elle a la charge. Un véritable Business Partner qui manage la direction financière sur deux unités (Production/Ditribution). Contribuer à la définition de la stratégie de la division dans une démarche business partner en accord avec les processus Groupe. En concertation avec le Groupe, vous garantissez la fiabilité des comptes et des résultats du périmètre ainsi que l'application des normes et procédures et leurs évolutions (comptabilité, contrôle de gestion, fiscalité et reporting, trésorerie, budget, optimisation et évolution du SI). Animer hiérarchiquement les équipes administratives et comptables, finances, contrôle de gestion de la division et fonctionnellement les équipes administration/finance. "
222,Brand Manager, Confidentiel ,25/07/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Le brand manager a pour mission de gérer la marque, en usant de tous les moyens marketings et communicationnels nécessaires pour développer son image. Il est tenu de garantir la cohérence de la marque avec la stratégie média globale de l’entreprise ainsi que sa réputation sur le marché. "
223,Infographiste , Confidentiel ,25/07/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," L’infographiste a pour mission de réaliser des visuels alliant images, photos, texte et vidéo à partir d’outils informatiques tout en prenant en compte l’esthétique et le contexte. L’infographiste assure la création et la réalisation des supports et des dépliants dans Le respect de la charte graphique de l’entreprise. Il réalise des dessins grâce à des palettes graphiques, retouche et transforme des photos et des images et les assemble sur un même support. "
224,Technicien Maintenance â Agroalimentaire ( Casablanca ) , Confidentiel ,15/07/2022," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Intervenir à tout moment en cas de panne Assurer la maintenance prédictive/préventive/curative des équipements de production Suivre un planning de révision Participer aux travaux de modification ou d'évolution des équipements (amélioration rendements et projets d´innovation) S'assurer de la disponibilité des pièces détachées/déclencher les commandes Gérer des stocks, recensement du besoin, réception, entreposage, catalogage et inventaire des pièces détachées. "
